 Rede Imvista - Ótimus Imóveis,"('RUA DESEMBARGADOR BARCELOS', '8111700', '6821801')"
 Ativa,"('RUA LIMOEIRO', '6920601', '8211300')"
 Eterno Verão - Sorveteria - Açaí,"('RUA VIAMAO', '4712100', '')"
 Otorrino,"('RUA VIAMAO', '8610101', '')"
 Raulinda Institutos de Beleza,"('RUA EPHIGENIA DE CASTRO BELFORT', '9602501', '')"
 Itália Pizzas,"('AVENIDA AMAZONAS', '5611201', '4721102')"
