 Rede Imvista Franco Imóveis,"('RUA ITAJUBA', '6821801', '6822600')"
 Expresso Pizza,"('RUA HELIUM', '4712100', '')"
 Ricardo's Bar,"('RUA FURQUIM WERNECK', '5611201', '5611202')"
 Hermano's Coiffeurs,"('AVENIDA GUARAPARI', '9602501', '')"
 Creche Infantil Três Porquinhos,"('RUA DOS FERREIROS', '9430800', '8512100')"
 Mário M.L. Representações,"('RUA A', '4530701', '4520001')"
 Água na Boca,"('AVENIDA LUIZ PAULO FRANCO', '5611201', '')"
 Freedom Club BH,"('AVENIDA PRESIDENTE TANCREDO NEVES', '5611202', '5611201')"
 Criata Estamparia Digital,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Bh Lanches,"('RUA JOSUE MARTINS DE SOUZA', '5611201', '')"
 Dário Eustáquio da Silva,"('RUA SENADOR TEIXEIRA DA COSTA', '4520001', '4530704')"
 Vestire,"('AVENIDA CRISTIANO MACHADO', '4782201', '4781400')"
 Supermercado Uai Sô,"('RUA ESTANCIA', '4712100', '4724500')"
 Habitacional Imóveis,"('AVENIDA PORTUGAL', '6821801', '6821802')"
 Babita Noivas,"('RUA PADRE PEDRO PINTO', '4782201', '4781400')"
 Lia Cabelo e Cia,"('RUA DESEMBARGADOR PEDRO LICINIO', '9602501', '')"
 Cão Bom Pet Shop,"('RUA PORTO SEGURO', '9609208', '')"
 Perfectus Auto Center,"('RUA DESEMBARGADOR CONTINENTINO', '4520001', '4530703')"
 Áudio Universom - Sonorização e Iluminação de Festa e Eventos,"('RUA JOAO CARLOS', '4712100', '')"
 ACONCHEGO PET SHOP EIRELI,"('RUA CORONEL MARCELINO', '9609208', '4771704')"
 Segredos caseiros,"('AVENIDA PROFESSOR MARIO WERNECK', '4713001', '4693100')"
 Auto Reforma Veloso Ltda,"('RUA PEDRO LESSA', '4520001', '4541205')"
 Escola Municipal Maria da Gloria Lommez,"('PCA PEDRO LESSA', '8512100', '')"
 Sorveteria Lacta,"('RUA PAULA BROCHADO FRANCA', '4712100', '')"
 Porto Real Indústria de Pré Fabricados Especiais,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Betina,"('AVENIDA PRESIDENTE CARLOS LUZ', '4781400', '')"
 Dwich Lanches Ltda,"('RUA GENOVEVA DE SOUZA', '5611202', '5611201')"
 PINTORES E REFORMAS PREDIAIS RENOVO (31) *3357 19 61 - 3473 20 00,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Sorveteria,"('RUA ANTONIO MARZINETTI', '4712100', '')"
 Auto Elétrica Luna,"('RUA ARISTOTELES RIBEIRO VASCONCELOS', '4520001', '4520003')"
 Panificadora Vovó Nice,"('RUA FAGUNDES VARELA', '4712100', '5611202')"
 Studio Beco BHz,"('RUA RUBENS DE SOUZA PIMENTEL', '4713001', '')"
 E&T Contato Gestão Contábil Ltda,"('AVENIDA PRESIDENTE ANTONIO CARLOS', '7722500', '4713001')"
 Bonanza,"('RUA JACUI', '4724500', '4712100')"
 Padaria e Mercearia São Geraldo,"('RUA JOVINO RODRIGUES PEGO', '4724500', '4712100')"
 PEMAC,"('RUA PRINCESA ELIZABETH', '4520001', '')"
 Tom Sobre Tom,"('RUA ANTERO DE QUENTAL', '9602501', '')"
 Missão Evangélica Chamas do Avivamento,"('RUA DIAS DA MOTA', '9491000', '')"
 Grupo Espírita de Fraternidade Albino Teixeira,"('RUA DOS AEROVIARIOS', '9491000', '')"
 EM Persio Pereira Pinto,"('RUA D', '8512100', '')"
 Laranja Lima,"('AVENIDA VISCONDE DE IBITURUNA', '4781400', '4783102')"
 Doce Teixeira,"('RUA TRAJANO AMANCIO FERREIRA', '5611202', '4712100')"
 Contabilidade Brasil,"('RUA DAS PERPETUAS', '6920601', '5320201')"
 Casa de Carne São José,"('RUA LUIZ CANTANHEDE', '4712100', '')"
 Bar do Geraldo,"('AVENIDA LUXEMBURGO', '5611202', '5611201')"
 Igreja Batista de Bela Vista,"('RUA GARDENIA', '9491000', '')"
 Picchioni,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Salão Shalom,"('RUA PORTO SEGURO', '9602501', '')"
 Nice ( Salão Elshaday) Cabelo,"('RUA GURUPA', '9602501', '')"
 Restaurante Pimenta de Cheiro,"('AVENIDA PORTUGAL', '5611201', '')"
 Felicità,"('AVENIDA DOS ENGENHEIROS', '8630504', '')"
 Maria Bonita Beauty Space,"('RUA ARTHUR LIMA DE AZEVEDO', '9602501', '9602502')"
 Use Art Turismo,"('RUA AMARAL', '4781400', '')"
 Ápice Assessoria Empresarial,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Vidromania Ltda,"('RUA IZABEL BUENO', '4713001', '')"
 Oficina Mecânica,"('RUA CAPETINGA', '4520001', '4520007')"
 Borracha Bar,"('RUA IMPERATRIZ', '5611202', '4712100')"
 IGREJA PENTECOSTAL DE ORAÇÃO,"('RUA AMERICO ALVES', '9491000', '')"
 Sorveteria Salada,"('RUA LEONIL PRATA', '1091102', '4712100')"
 Sorveteria Pirajá,"('RUA JACUI', '4724500', '4712100')"
 Clube do Churrasqueiro,"('AVENIDA PRESIDENTE TANCREDO NEVES', '4712100', '9521500')"
 Jackson Aguiar Beleza e Estetica,"('RUA IZABEL BUENO', '9602501', '')"
 São Judas Tadeu,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 Igreja Evangélica de Restauração,"('RUA MARIA FRANCISCA', '9491000', '')"
 Casa de Carne Teodoro,"('RUA JOSE GOMES', '4712100', '')"
 Trocar Acessórios Automotivos,"('RUA PADRE PEDRO PINTO', '4713001', '')"
 IMPERMEABILIZAÇÃO DE FACHADAS RENOVO PINTURAS (31) 3357 19 61,"('RUA VILA RICA', '4330404', '7119703')"
 B'jur Moda Íntima,"('RUA ANA LUCIA', '4781400', '3299099')"
 Visual Uniformes,"('RUA LIDIA', '4781400', '')"
 Restaurante do Portuga,"('AVENIDA SEBASTIAO DE BRITO', '5611201', '')"
 Buy Phone Minas Shopping,"('AVENIDA CRISTIANO MACHADO', '4713001', '')"
 Modular Gesso,"('RUA DAS PETUNIAS', '9700500', '')"
 banco do Brasil,"('AVENIDA PRESIDENTE ANTONIO CARLOS', '7722500', '4713001')"
 Bar do Jurandi,"('RUA PEDRO ROCHA POSSAS', '5611202', '')"
 Auto Mecânica Sérgio,"('RUA IZABEL BUENO', '4520001', '4520004')"
